time,odom_x,odom_y,odom_theta,est_x,est_y,est_theta,diff,rate_of_change,expected_change,particle_std_x,particle_std_y,particle_std_theta,linear_vel,angular_vel,anomaly_detected,attack_active
1757357222.4396129,0.8507631393273488,0.518044821865732,-1.6324,0.005961001544109794,-9.694774741197668e-06,-0.012430519557017879,1.8990450894545476,27.599220365698297,0.0,0.006669701168299747,0.000389404156015373,0.005440753641448127,0.0,0.0,0,0
1757357222.5428395,0.8507631393273488,0.518044821865732,-1.6325,0.016738546261169232,-0.0002942405372998387,-0.030732487876249832,1.878811211470479,0.0010046934996681299,0.0,0.01060620775580888,0.0005144398176346978,0.007353752289174452,0.0,0.0,0,0
1757357222.5495548,0.8507631393273488,0.518044821865732,-1.6326,0.03578982441140992,-0.0004716695040405451,-0.05122980498850244,1.8530441304831882,0.03053956604048011,0.0,0.011788981119215263,0.00032102263588346737,0.006592656497284001,0.0,0.0,0,0
1757357222.5524118,0.8507631393273488,0.518044821865732,-1.6327,0.05203338504716019,-0.00044962540316870946,-0.06922814971552196,1.8306419472013478,1.711960816326342,0.0,0.01232696463230116,0.0002911078775507996,0.007942764023960611,0.0,0.0,0,0
1757357222.5717466,0.8507631393273488,0.518044821865732,-1.6328,0.07013107083191669,-0.0004064301680826947,-0.08555414383238194,1.8089079209641248,0.006391320380951677,0.0,0.010285186308387175,0.0003947218187038074,0.006002644131019318,0.0,0.0,0,0
1757357222.604874,0.8507631393273488,0.518044821865732,-1.6328,0.08248552579550551,-0.00040013450672404295,-0.10066657808964544,1.7906614662679696,0.0,0.0,0.010182236543996104,0.0004862216132313505,0.008265275721394228,0.0,0.0,0,0
1757357222.7472093,0.8507631393273488,0.518044821865732,-1.6329,0.08959363963964727,-0.00027148666116668025,-0.12355931018718976,1.7680893984367383,0.000720555650042096,0.0,0.008867793347686963,0.0004255445091517804,0.008932210206909392,0.0,0.0,0,0
1757357222.7500806,0.8507631393273488,0.518044821865732,-1.633,0.0971223533897107,-0.00043228009749897173,-0.14268522517018037,1.7486655104864817,0.9686614318705631,0.0,0.007126202634178537,0.0005033290830134468,0.007386512829221827,0.0,0.0,0,0
1757357222.753208,0.8507631393273488,0.518044821865732,-1.633,0.10387189524568295,-0.0008677524199816202,-0.16396057192938443,1.7277712902649258,0.0,0.0,0.008348645022366848,0.00047536255894897977,0.008422779500175488,0.0,0.0,0,0
1757357222.75637,0.8507631393273488,0.518044821865732,-1.6331,0.11109042127189822,-0.0009860145912649898,-0.1819308963613302,1.7095029998172708,1.3934564784051622,0.0,0.010113723790735097,0.0004188328104115233,0.007463968535216098,0.0,0.0,0,0
