time,odom_x,odom_y,odom_theta,lidar_x,lidar_y,est_x,est_y,est_theta,diff,rate_of_change,expected_change,covariance_trace,linear_vel,angular_vel,anomaly_detected,attack_active
1757356695.0674765,0.0,0.0,-0.738,0.0,0.0,0.0,0.0,-0.38693460343841823,0.738,15.833715367223546,0.0,0.12120134949968389,0.0,0.0,0,0
1757356695.1791255,0.0,0.0,-0.738,0.0,0.0,0.0,0.0,-0.52542692288268,0.34924034225893497,0.0,0.0,0.08661993352143907,0.0,0.0,0,0
1757356695.1838253,0.0,0.0,-0.7381,0.0,0.0,0.0,0.0,-0.5957189031371153,0.2124559638989557,0.021708524403496392,0.0,0.07330073905451076,0.0,0.0,0,0
1757356695.1839185,0.0,0.0,-0.7382,0.0,0.0,0.0,0.0,-0.6385534064318669,0.14247847361936494,2.3045626373623835,0.0,0.06768587733970802,0.0,0.0,0,0
1757356695.2025886,0.0,0.0,-0.7383,0.0,0.0,0.0,0.0,-0.6680753885284999,0.09850609150583234,0.005377519648191005,0.0,0.06532836338999728,0.0,0.0,0,0
1757356695.2328274,0.0,0.0,-0.7383,0.0,0.0,0.0,0.0,-0.6893807543108301,0.06806762122729293,0.0,0.0,0.06441844344534678,0.0,0.0,0,0
1757356695.382717,0.0,0.0,-0.7384,0.0,0.0,0.0,0.0,-0.7122255883817122,0.03760570204623537,0.000667510782207295,0.0,0.06840334127529885,0.0,0.0,0,0
1757356695.3844824,0.0,0.0,-0.7385,0.0,0.0,0.0,0.0,-0.7198942162726351,0.026135154115940473,0.060393146148368534,0.0,0.06554359627045774,0.0,0.0,0,0
1757356695.3846002,0.0,0.0,-0.7386,0.0,0.0,0.0,0.0,-0.725129026190616,0.018699274671920896,1.3530012903224315,0.0,0.06415824558613714,0.0,0.0,0,0
1757356695.3873613,0.0,0.0,-0.7386,0.0,0.0,0.0,0.0,-0.7290198460470719,0.013222675342196566,0.0,0.0,0.06354328065943624,0.0,0.0,0,0
